"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 11 08:10:43 GMT 2021","Fri Jun 11 08:10:43 GMT 2021","2","","","","","","Add label to existing issue for authorized user",""
"passed","Fri Jun 11 08:10:43 GMT 2021","Fri Jun 11 08:10:43 GMT 2021","2","","","","","","Create new label via api",""
"failed","Fri Jun 11 08:10:43 GMT 2021","Fri Jun 11 08:10:44 GMT 2021","1003","","","","","","Delete existing label for authorized user",""
"passed","Fri Jun 11 08:10:43 GMT 2021","Fri Jun 11 08:10:43 GMT 2021","1","","","","","","Delete existing label via api",""
"passed","Fri Jun 11 08:10:43 GMT 2021","Fri Jun 11 08:10:43 GMT 2021","2","","","","","","Create new label for authorized user",""
"passed","Fri Jun 11 08:10:44 GMT 2021","Fri Jun 11 08:10:44 GMT 2021","1","","","","","","Create new milestone for authorized user",""
"passed","Fri Jun 11 08:10:44 GMT 2021","Fri Jun 11 08:10:44 GMT 2021","2","","","","","","Close existing milestone for authorized user",""
