"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 11:28:18 GMT 2022","Thu Aug 11 11:28:18 GMT 2022","2","","","","","","Create new label via api",""
"passed","Thu Aug 11 11:28:18 GMT 2022","Thu Aug 11 11:28:18 GMT 2022","1","","","","","","Create new label for authorized user",""
"broken","Thu Aug 11 11:28:18 GMT 2022","Thu Aug 11 11:28:18 GMT 2022","1","","","","","","Delete existing label for authorized user",""
"passed","Thu Aug 11 11:28:18 GMT 2022","Thu Aug 11 11:28:18 GMT 2022","1","","","","","","Delete existing label via api",""
"passed","Thu Aug 11 11:28:18 GMT 2022","Thu Aug 11 11:28:18 GMT 2022","1","","","","","","Create new milestone for authorized user",""
"broken","Thu Aug 11 11:28:18 GMT 2022","Thu Aug 11 11:28:18 GMT 2022","1","","","","","","Add label to existing issue for authorized user",""
"passed","Thu Aug 11 11:28:18 GMT 2022","Thu Aug 11 11:28:18 GMT 2022","1","","","","","","Close existing milestone for authorized user",""
