"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 11 14:01:30 GMT 2021","Fri Jun 11 14:01:30 GMT 2021","2","","","","","","Add label to existing issue for authorized user",""
"failed","Fri Jun 11 14:01:30 GMT 2021","Fri Jun 11 14:01:32 GMT 2021","2004","","","","","","Delete existing label for authorized user",""
"passed","Fri Jun 11 14:01:30 GMT 2021","Fri Jun 11 14:01:30 GMT 2021","2","","","","","","Create new label for authorized user",""
"passed","Fri Jun 11 14:01:32 GMT 2021","Fri Jun 11 14:01:32 GMT 2021","1","","","","","","Close existing milestone for authorized user",""
"passed","Fri Jun 11 14:01:32 GMT 2021","Fri Jun 11 14:01:32 GMT 2021","1","","","","","","Create new milestone for authorized user",""
"passed","Fri Jun 11 14:01:30 GMT 2021","Fri Jun 11 14:01:30 GMT 2021","1","","","","","","Create new label via api",""
"passed","Fri Jun 11 14:01:30 GMT 2021","Fri Jun 11 14:01:30 GMT 2021","2","","","","","","Delete existing label via api",""
