"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 30 08:52:15 GMT 2021","Thu Sep 30 08:52:16 GMT 2021","1003","","","","","","Add label to existing issue for authorized user",""
"passed","Thu Sep 30 08:52:15 GMT 2021","Thu Sep 30 08:52:15 GMT 2021","1","","","","","","Create new label via api",""
"passed","Thu Sep 30 08:52:18 GMT 2021","Thu Sep 30 08:52:18 GMT 2021","2","","","","","","Close existing milestone for authorized user",""
"broken","Thu Sep 30 08:52:15 GMT 2021","Thu Sep 30 08:52:15 GMT 2021","1","","","","","","Create new label for authorized user",""
"passed","Thu Sep 30 08:52:16 GMT 2021","Thu Sep 30 08:52:18 GMT 2021","2005","","","","","","Delete existing label for authorized user",""
"passed","Thu Sep 30 08:52:15 GMT 2021","Thu Sep 30 08:52:15 GMT 2021","1","","","","","","Delete existing label via api",""
"passed","Thu Sep 30 08:52:18 GMT 2021","Thu Sep 30 08:52:18 GMT 2021","1","","","","","","Create new milestone for authorized user",""
