"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 08 16:54:57 GMT 2022","Tue Feb 08 16:54:57 GMT 2022","1","","","","","","Add label to existing issue for authorized user",""
"broken","Tue Feb 08 16:54:57 GMT 2022","Tue Feb 08 16:54:57 GMT 2022","1","","","","","","Delete existing label for authorized user",""
"passed","Tue Feb 08 16:54:57 GMT 2022","Tue Feb 08 16:54:57 GMT 2022","1","","","","","","Create new milestone for authorized user",""
"passed","Tue Feb 08 16:54:57 GMT 2022","Tue Feb 08 16:54:57 GMT 2022","1","","","","","","Create new label via api",""
"passed","Tue Feb 08 16:54:57 GMT 2022","Tue Feb 08 16:54:57 GMT 2022","1","","","","","","Close existing milestone for authorized user",""
"broken","Tue Feb 08 16:54:57 GMT 2022","Tue Feb 08 16:54:57 GMT 2022","2","","","","","","Create new label for authorized user",""
"passed","Tue Feb 08 16:54:57 GMT 2022","Tue Feb 08 16:54:57 GMT 2022","1","","","","","","Delete existing label via api",""
