"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 30 08:56:12 GMT 2021","Thu Sep 30 08:56:12 GMT 2021","1","","","","","","Delete existing label for authorized user",""
"passed","Thu Sep 30 08:56:11 GMT 2021","Thu Sep 30 08:56:11 GMT 2021","1","","","","","","Delete existing label via api",""
"passed","Thu Sep 30 08:56:11 GMT 2021","Thu Sep 30 08:56:11 GMT 2021","1","","","","","","Create new label for authorized user",""
"passed","Thu Sep 30 08:56:12 GMT 2021","Thu Sep 30 08:56:12 GMT 2021","1","","","","","","Close existing milestone for authorized user",""
"passed","Thu Sep 30 08:56:12 GMT 2021","Thu Sep 30 08:56:12 GMT 2021","1","","","","","","Create new milestone for authorized user",""
"passed","Thu Sep 30 08:56:11 GMT 2021","Thu Sep 30 08:56:11 GMT 2021","1","","","","","","Create new label via api",""
"passed","Thu Sep 30 08:56:11 GMT 2021","Thu Sep 30 08:56:12 GMT 2021","1002","","","","","","Add label to existing issue for authorized user",""
