"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 30 11:24:07 GMT 2021","Thu Sep 30 11:24:07 GMT 2021","1","","","","","","Delete existing label via api",""
"broken","Thu Sep 30 11:24:07 GMT 2021","Thu Sep 30 11:24:07 GMT 2021","1","","","","","","Add label to existing issue for authorized user",""
"passed","Thu Sep 30 11:24:07 GMT 2021","Thu Sep 30 11:24:07 GMT 2021","1","","","","","","Create new label via api",""
"broken","Thu Sep 30 11:24:07 GMT 2021","Thu Sep 30 11:24:07 GMT 2021","1","","","","","","Create new label for authorized user",""
"passed","Thu Sep 30 11:24:07 GMT 2021","Thu Sep 30 11:24:07 GMT 2021","1","","","","","","Close existing milestone for authorized user",""
"broken","Thu Sep 30 11:24:07 GMT 2021","Thu Sep 30 11:24:07 GMT 2021","0","","","","","","Delete existing label for authorized user",""
"passed","Thu Sep 30 11:24:07 GMT 2021","Thu Sep 30 11:24:07 GMT 2021","1","","","","","","Create new milestone for authorized user",""
